Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc,pixel_aupro,train_time,test_time
visa_candle,0.9535,0.9910739325733248,0.984491999028835,0.9044658182268508,48.75408220291138,31.977264881134033
visa_capsules,0.7501666666666666,0.9893399882875759,0.9879449221708907,0.7753866983281094,26.79428791999817,22.742470502853394
visa_cashew,0.9564,0.9869425463455189,0.9816871561779981,0.903613057911713,21.774339199066162,21.513754844665527
visa_chewinggum,0.9894000000000001,0.9889369570650742,0.9851799241829282,0.7654721342284542,21.646122932434082,18.82380247116089
visa_fryum,0.9092,0.9543458154280124,0.9460138150416729,0.8254075337084502,21.027673721313477,22.553197145462036
visa_macaroni1,0.9458,0.9957704100739506,0.9919556921290368,0.9239025977893702,56.28892660140991,37.304086208343506
visa_macaroni2,0.8084,0.9471630900043587,0.9433949979165451,0.8432290153048999,56.66586112976074,38.02946424484253
visa_pcb1,0.9783999999999999,0.9984183272953991,0.9975111878782688,0.9050541646936111,56.52126669883728,40.107150077819824
visa_pcb2,0.9376,0.9830835490571598,0.9735460880133321,0.8182272223340121,52.43533945083618,39.4852032661438
visa_pcb3,0.938019801980198,0.9858226535165491,0.9751604651294826,0.8316185840726895,51.91052198410034,39.802250146865845
visa_pcb4,0.9898019801980198,0.9818578361495092,0.9661094975653195,0.8290345982840488,50.62814140319824,38.56291127204895
visa_pipe_fryum,0.9992,0.9898328771445456,0.985146428445431,0.9429298151678217,20.29328751564026,23.58671283721924
Mean,0.9296573707370738,0.9827156652450815,0.9765118478066451,0.8556951033375025,40.39498756329218,31.2073556582133
